,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,legendary_sum
0,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,71,318,45,Seed PokÃ©mon,49,1059860,0.7,45,Fushigidaneãƒ•ã‚·ã‚®ãƒ€ãƒ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0,0.28258327686638596
1,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,71,405,45,Seed PokÃ©mon,63,1059860,1.0,60,Fushigisouãƒ•ã‚·ã‚®ã‚½ã‚¦,Ivysaur,88.1,2,80,80,60,grass,poison,13.0,1,0,0.28258327686638596
2,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,71,625,45,Seed PokÃ©mon,123,1059860,2.0,80,Fushigibanaãƒ•ã‚·ã‚®ãƒãƒŠ,Venusaur,88.1,3,122,120,80,grass,poison,100.0,1,0,0.28258327686638596
3,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,71,309,45,Lizard PokÃ©mon,43,1059860,0.6,39,Hitokageãƒ’ãƒˆã‚«ã‚²,Charmander,88.1,4,60,50,65,fire,,8.5,1,0,0.28258327686638596
4,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,71,405,45,Flame PokÃ©mon,58,1059860,1.1,58,Lizardoãƒªã‚¶ãƒ¼ãƒ‰,Charmeleon,88.1,5,80,65,80,fire,,19.0,1,0,0.28258327686638596
5,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,71,634,45,Flame PokÃ©mon,78,1059860,1.7,78,Lizardonãƒªã‚¶ãƒ¼ãƒ‰ãƒ³,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0,0.28258327686638596
6,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,71,314,45,Tiny Turtle PokÃ©mon,65,1059860,0.5,44,Zenigameã‚¼ãƒ‹ã‚¬ãƒ¡,Squirtle,88.1,7,50,64,43,water,,9.0,1,0,0.28258327686638596
7,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,71,405,45,Turtle PokÃ©mon,80,1059860,1.0,59,Kameilã‚«ãƒ¡ãƒ¼ãƒ«,Wartortle,88.1,8,65,80,58,water,,22.5,1,0,0.28258327686638596
8,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,71,630,45,Shellfish PokÃ©mon,120,1059860,1.6,79,Kamexã‚«ãƒ¡ãƒƒã‚¯ã‚¹,Blastoise,88.1,9,135,115,78,water,,85.5,1,0,0.28258327686638596
9,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,71,195,255,Worm PokÃ©mon,35,1000000,0.3,45,Caterpieã‚­ãƒ£ã‚¿ãƒ”ãƒ¼,Caterpie,50.0,10,20,20,45,bug,,2.9,1,0,0.28258327686638596
